Network,Region,Hemisphere,x,y,z
DorsalAttention,cortex,left,-26.6,-70.72,36.86
DorsalAttention,cortex,right,21.9,-64.74,48.12
DorsalAttention,cortex,left,-52.44,-63.14,5.29
DorsalAttention,cortex,right,9.61,-61.5,60.88
DorsalAttention,cortex,left,-42.26,-60.12,-8.85
DorsalAttention,cortex,right,46.09,-58.93,3.93
DorsalAttention,cortex,left,-16.5,-58.57,64.46
DorsalAttention,cortex,right,25.34,-58.18,60.34
DorsalAttention,cortex,right,45.68,-46.67,-16.85
DorsalAttention,cortex,left,-32.56,-46.42,47.2
DorsalAttention,cortex,right,10.51,-38.54,50.02
DorsalAttention,cortex,left,-37.26,-28.8,-25.58
DorsalAttention,cortex,right,28.56,-4.62,53.99
DorsalAttention,cortex,left,-32.23,-1.08,54.06
FrontoParietal,cerebellum,left,-10,-78,-28
FrontoParietal,cerebellum,right,10,-78,-28
FrontoParietal,cerebellum,left,-34,-72.01,-48
FrontoParietal,cerebellum,right,34,-72,-48
FrontoParietal,cerebellum,left,-30.5,-66,-30
FrontoParietal,cortex,right,37.45,-64.7,40.38
FrontoParietal,cerebellum,right,31.68,-62.83,-30.4
FrontoParietal,cortex,left,-28.4,-57.93,47.78
FrontoParietal,cortex,left,-42.09,-54.98,44.74
FrontoParietal,cortex,right,33.38,-53.12,44.02
FrontoParietal,cortex,right,43.93,-52.95,46.95
FrontoParietal,cortex,right,58.31,-52.79,-13.61
FrontoParietal,cortex,left,-52.6,-48.83,42.5
FrontoParietal,cortex,right,55.27,-44.59,36.7
FrontoParietal,cerebellum,right,40,-44,-38
FrontoParietal,cortex,right,49.18,-42.41,45.16
FrontoParietal,basalGanglia,left,-15.19,-1.5,18.84
FrontoParietal,basalGanglia,right,14.15,-1.19,18.18
FrontoParietal,cortex,left,-43.93,1.8,45.7
FrontoParietal,cortex,left,-41.06,5.81,32.72
FrontoParietal,cortex,right,47.01,9.93,32.66
FrontoParietal,cortex,left,-22.53,10.76,63.73
FrontoParietal,cortex,left,-46.5,10.85,23.04
FrontoParietal,cortex,right,31.83,14.37,55.98
FrontoParietal,cortex,right,39.87,18.39,39.72
FrontoParietal,cortex,right,47.6,22.16,9.74
FrontoParietal,cortex,right,47.98,24.56,26.5
FrontoParietal,cortex,left,-42.1,24.68,29.53
FrontoParietal,cortex,left,-2.98,26.41,44.42
FrontoParietal,cortex,left,-42.23,38.21,21.35
FrontoParietal,cortex,right,38.37,43.18,15.06
FrontoParietal,cortex,right,24.07,44.61,-15.35
FrontoParietal,cortex,left,-41.68,45.16,-2.31
FrontoParietal,cortex,right,43.25,49.25,-2.31
FrontoParietal,cortex,right,33.6,54.22,-12.95
FrontoParietal,cortex,left,-34.16,54.83,4.36
VentralAttention,basalGanglia,left,-28.26,-0.97,-3.09
VentralAttention,cortex,left,-56.47,-50.48,9.92
VentralAttention,cortex,right,55.75,-46.07,11.42
VentralAttention,cortex,right,53.9,-42.76,21.83
VentralAttention,cortex,left,-55.3,-39.89,13.51
VentralAttention,cortex,right,51.52,-32.52,7.55
VentralAttention,cortex,right,51.28,-28.52,-4.3
VentralAttention,cortex,left,-9.88,10.95,66.61
VentralAttention,cortex,left,-49.07,25.13,-0.98
VentralAttention,cortex,right,52.68,32.58,0.57
DorsalAttention,cerebellum,left,-13,-52,-50
DorsalAttention,cerebellum,right,14,-48,-52
